sample_id,category,image_path
air_conditioner_filter_000,air_conditioner_filter,air_conditioner_filter/train/good/000.png
air_conditioner_filter_001,air_conditioner_filter,air_conditioner_filter/train/good/001.png
air_conditioner_filter_002,air_conditioner_filter,air_conditioner_filter/train/good/002.png
air_conditioner_filter_003,air_conditioner_filter,air_conditioner_filter/train/good/003.png
air_conditioner_filter_004,air_conditioner_filter,air_conditioner_filter/train/good/004.png
air_conditioner_filter_005,air_conditioner_filter,air_conditioner_filter/train/good/005.png
air_conditioner_filter_006,air_conditioner_filter,air_conditioner_filter/train/good/006.png
air_conditioner_filter_007,air_conditioner_filter,air_conditioner_filter/train/good/007.png
air_conditioner_filter_008,air_conditioner_filter,air_conditioner_filter/train/good/008.png
air_conditioner_filter_009,air_conditioner_filter,air_conditioner_filter/train/good/009.png
air_conditioner_filter_010,air_conditioner_filter,air_conditioner_filter/train/good/010.png
air_conditioner_filter_011,air_conditioner_filter,air_conditioner_filter/train/good/011.png
air_conditioner_filter_012,air_conditioner_filter,air_conditioner_filter/train/good/012.png
air_conditioner_filter_013,air_conditioner_filter,air_conditioner_filter/train/good/013.png
air_conditioner_filter_014,air_conditioner_filter,air_conditioner_filter/train/good/014.png
air_conditioner_filter_015,air_conditioner_filter,air_conditioner_filter/train/good/015.png
air_conditioner_filter_016,air_conditioner_filter,air_conditioner_filter/train/good/016.png
air_conditioner_filter_017,air_conditioner_filter,air_conditioner_filter/train/good/017.png
air_conditioner_filter_018,air_conditioner_filter,air_conditioner_filter/train/good/018.png
air_conditioner_filter_019,air_conditioner_filter,air_conditioner_filter/train/good/019.png
air_conditioner_filter_020,air_conditioner_filter,air_conditioner_filter/train/good/020.png
air_conditioner_filter_021,air_conditioner_filter,air_conditioner_filter/train/good/021.png
air_conditioner_filter_022,air_conditioner_filter,air_conditioner_filter/train/good/022.png
air_conditioner_filter_023,air_conditioner_filter,air_conditioner_filter/train/good/023.png
air_conditioner_filter_024,air_conditioner_filter,air_conditioner_filter/train/good/024.png
air_conditioner_filter_025,air_conditioner_filter,air_conditioner_filter/train/good/025.png
air_conditioner_filter_026,air_conditioner_filter,air_conditioner_filter/train/good/026.png
air_conditioner_filter_027,air_conditioner_filter,air_conditioner_filter/train/good/027.png
air_conditioner_filter_028,air_conditioner_filter,air_conditioner_filter/train/good/028.png
air_conditioner_filter_029,air_conditioner_filter,air_conditioner_filter/train/good/029.png
air_conditioner_filter_030,air_conditioner_filter,air_conditioner_filter/train/good/030.png
air_conditioner_filter_031,air_conditioner_filter,air_conditioner_filter/train/good/031.png
air_conditioner_filter_032,air_conditioner_filter,air_conditioner_filter/train/good/032.png
air_conditioner_filter_033,air_conditioner_filter,air_conditioner_filter/train/good/033.png
